Sample in Buffer,Sample in Window,TRIGGER,design_1_i/tvalid_fir_gen_0_odata_q[15:0],design_1_i/tvalid_fir_gen_0_odata_i[15:0],user_probe_I[15:0],design_1_i/fir_compiler_2_m_axis_data_tdata[15:0],design_1_i/fir_compiler_1_m_axis_data_tdata[15:0],design_1_i/fir_compiler_0_m_axis_data_tdata[15:0],design_1_i/fir_compiler_3_m_axis_data_tdata[15:0],design_1_i/tvalid_fir_gen_0_tvalid,design_1_i/tvalid_fir_gen_1_tvalid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX
24952,24952,0,-155,-241,-241,-33,70,-221,47,0,1
24953,24953,0,-155,-241,-241,-33,70,-221,47,0,0
24954,24954,0,-155,-241,-241,-33,70,-221,47,0,0
24955,24955,0,-155,-241,-241,16,70,-221,15,0,0
24956,24956,0,-254,-360,-360,16,70,-221,15,1,0
24957,24957,0,-254,-360,-360,16,92,-113,15,0,1
24958,24958,0,-254,-360,-360,16,92,-113,15,0,0
24959,24959,0,-254,-360,-360,16,92,-113,15,0,0
24960,24960,0,-254,-360,-360,16,92,-113,15,0,0
24961,24961,0,-254,-360,-360,16,83,-48,15,0,1
24962,24962,0,-254,-360,-360,16,83,-48,15,0,0
24963,24963,0,-254,-360,-360,16,83,-48,15,0,0
24964,24964,0,-254,-360,-360,17,83,-48,-66,0,0
24965,24965,0,-178,143,143,17,83,-48,-66,1,0
24966,24966,0,-178,143,143,17,43,-78,-66,0,1
24967,24967,0,-178,143,143,17,43,-78,-66,0,0
24968,24968,0,-178,143,143,17,43,-78,-66,0,0
24969,24969,0,-178,143,143,17,43,-78,-66,0,0
24970,24970,0,-178,143,143,17,-21,-182,-66,0,1
24971,24971,0,-178,143,143,17,-21,-182,-66,0,0
24972,24972,0,-178,143,143,17,-21,-182,-66,0,0
24973,24973,0,-178,143,143,-27,-21,-182,-56,0,0
24974,24974,0,-75,-106,-106,-27,-21,-182,-56,1,0
24975,24975,0,-75,-106,-106,-27,-96,-274,-56,0,1
24976,24976,0,-75,-106,-106,-27,-96,-274,-56,0,0
24977,24977,0,-75,-106,-106,-27,-96,-274,-56,0,0
24978,24978,0,-75,-106,-106,-27,-96,-274,-56,0,0
24979,24979,0,-75,-106,-106,-27,-166,-262,-56,0,1
24980,24980,0,-75,-106,-106,-27,-166,-262,-56,0,0
24981,24981,0,-75,-106,-106,-27,-166,-262,-56,0,0
24982,24982,0,-75,-106,-106,-44,-166,-262,-6,0,0
24983,24983,0,-326,-448,-448,-44,-166,-262,-6,1,0
24984,24984,0,-326,-448,-448,-44,-207,-120,-6,0,1
24985,24985,0,-326,-448,-448,-44,-207,-120,-6,0,0
24986,24986,0,-326,-448,-448,-44,-207,-120,-6,0,0
24987,24987,0,-326,-448,-448,-44,-207,-120,-6,0,0
24988,24988,0,-326,-448,-448,-44,-207,86,-6,0,1
24989,24989,0,-326,-448,-448,-44,-207,86,-6,0,0
24990,24990,0,-326,-448,-448,-44,-207,86,-6,0,0
24991,24991,0,-326,-448,-448,-48,-207,86,-21,0,0
24992,24992,0,-582,103,103,-48,-207,86,-21,1,0
24993,24993,0,-582,103,103,-48,-168,231,-21,0,1
24994,24994,0,-582,103,103,-48,-168,231,-21,0,0
24995,24995,0,-582,103,103,-48,-168,231,-21,0,0
24996,24996,0,-582,103,103,-48,-168,231,-21,0,0
24997,24997,0,-582,103,103,-48,-115,224,-21,0,1
24998,24998,0,-582,103,103,-48,-115,224,-21,0,0
24999,24999,0,-582,103,103,-48,-115,224,-21,0,0
25000,25000,0,-582,103,103,-117,-115,224,-35,0,0
25001,25001,0,-350,339,339,-117,-115,224,-35,1,0
25002,25002,0,-350,339,339,-117,-79,71,-35,0,1
